Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Salvador,-12.90,-38.33,-3,13,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,8,18,27.7,24.1,22.4,100.8,0.017559739,75,1.135369628,72.5,10,100,3,387,290,237,495,53
1,8,19,26.7,23.7,22.2,100.8,0.017347217,78,1.139534766,70.9,7,100,4,76,46,26,62,20
1,8,20,25.6,23.5,22.4,100.9,0.017478619,84,1.144629934,70.1,6,90,0,0,0,0,0,0
1,8,21,25.4,23.4,22.3,101.0,0.017388756,85,1.146693055,69.7,6,100,0,0,0,0,0,0
1,8,22,25.3,23.3,22.2,101.0,0.017276093,85,1.147279436,69.3,5,110,0,0,0,0,0,0
1,8,23,25.0,23.1,22.0,101.1,0.01707656,85,1.149929837,68.5,4,100,0,0,0,0,0,0
1,8,24,24.8,23.0,22.0,101.1,0.017007963,86,1.150825264,68.1,4,110,0,0,0,0,0,0
1,9,1,24.7,23.8,23.1,101.1,0.018290976,93,1.148904731,71.3,2,110,0,0,0,0,0,0
1,9,2,24.6,23.9,23.3,101.0,0.018510527,94,1.147760229,71.7,0,0,0,0,0,0,0,0
1,9,3,24.1,22.7,21.8,101.0,0.016865578,89,1.15265123,67.0,2,100,0,0,0,0,0,0
1,9,4,23.8,22.4,21.5,101.0,0.016542275,89,1.154399942,65.9,3,110,0,0,0,0,0,0
1,9,5,23.6,21.7,20.6,101.0,0.015599224,85,1.156886641,63.3,0,0,0,0,0,0,0,0
1,9,6,23.1,21.3,20.2,101.0,0.015235132,85,1.159501342,61.8,0,0,0,0,0,0,0,0
1,9,7,23.4,22.0,21.1,101.1,0.016102693,89,1.157898716,64.4,0,0,1,174,129,105,256,25
1,9,8,24.8,23.4,22.5,101.1,0.017623023,89,1.149718576,69.7,0,0,3,497,350,267,492,83
1,9,9,27.5,23.6,21.8,101.2,0.016778971,72,1.142027582,70.3,4,90,6,795,385,118,168,266
1,9,10,29.1,24.0,21.7,101.2,0.016734847,66,1.136060588,71.8,7,100,9,1046,387,46,54,341
1,9,11,28.0,24.0,22.2,101.2,0.017197185,72,1.139385468,71.9,7,110,10,1234,457,54,57,402
1,9,12,27.5,23.6,21.8,101.2,0.016778971,72,1.142027582,70.3,7,90,10,1346,498,59,59,439
1,9,13,29.6,23.4,20.6,101.1,0.015606848,60,1.135068236,69.5,7,100,10,1374,794,405,411,388
1,9,14,29.5,24.0,21.6,101.1,0.016586078,64,1.133702063,71.9,8,90,8,1317,988,807,877,181
1,9,15,30.5,23.4,20.2,101.0,0.015248863,55,1.13121973,69.5,6,90,4,1177,868,699,870,169
1,9,16,28.6,23.0,20.4,100.9,0.015449531,62,1.136857487,68.0,6,90,5,966,712,574,880,139
1,9,17,28.2,23.0,20.6,100.9,0.015616965,65,1.138067564,68.1,6,120,5,697,523,427,853,96
1,9,18,27.3,23.3,21.4,100.8,0.016472144,72,1.138817886,69.3,6,100,4,388,259,182,471,78
1,9,19,26.8,24.0,22.6,100.9,0.017760149,80,1.13954894,72.1,6,110,1,77,46,26,63,20
1,9,20,26.4,24.0,22.8,100.9,0.017928773,82,1.14076993,72.1,6,100,0,0,0,0,0,0
1,9,21,26.0,23.5,22.2,100.9,0.017310172,81,1.143400626,70.1,5,120,0,0,0,0,0,0
